id,stat_id,range_min,range_max,proto_max,compatibility,category,fidelity
assault-rifle-damage-weapon-core,assault-rifle-damage,0.5%,15%,22.5%,N/A,offensive,0.1%
lmg-damage-weapon-core,lmg-damage,0.5%,15%,22.5%,N/A,offensive,0.1%
smg-damage-weapon-core,smg-damage,0.5%,15%,22.5%,N/A,offensive,0.1%
rifle-damage-weapon-core,rifle-damage,0.5%,15%,22.5%,N/A,offensive,0.1%
marksman-rifle-damage-weapon-core,marksman-rifle-damage,0.5%,15%,22.5%,N/A,offensive,0.1%
shotgun-damage-weapon-core,shotgun-damage,0.5%,15%,22.5%,N/A,offensive,0.1%
pistol-damage-weapon-core,pistol-damage,0.5%,15%,22.5%,N/A,offensive,0.1%
health-damage-weapon-core,health-damage,0.5%,21%,31.5%,N/A,offensive,0.1%
dtoc-weapon-core,dtoc,0.5%,12%,18%,N/A,offensive,0.1%
critical-hit-chance-weapon-core,critical-hit-chance,0.5%,21%,31.5%,N/A,offensive,0.1%
damage-to-armor-weapon-core,damage-to-armor,0.5%,12%,18%,N/A,offensive,0.1%
critical-hit-damage-weapon-core,critical-hit-damage,0.5%,17%,26%,N/A,offensive,0.1%
headshot-damage-weapon-core,headshot-damage,0.5%,111%,166.5%,N/A,offensive,0.1%
damage-to-armor-weapon-minor,damage-to-armor,0.5%,6%,9%,weapon-minor|weapon-offensive-minor,offensive,0.1%
critical-hit-chance-weapon-minor,critical-hit-chance,0.5%,9.5%,14.5%,weapon-minor|weapon-offensive-minor,offensive,0.1%
health-damage-weapon-minor,health-damage,0.5%,10%,14.5%,weapon-minor|weapon-offensive-minor,offensive,0.1%
dtoc-weapon-minor,dtoc,0.5%,10%,15%,weapon-minor|weapon-offensive-minor,offensive,0.1%
headshot-damage-weapon-minor,headshot-damage,0.5%,10%,15%,weapon-minor|weapon-offensive-minor,offensive,0.1%
critical-hit-damage-weapon-minor,critical-hit-damage,0.5%,10%,15%,weapon-minor|weapon-offensive-minor,offensive,0.1%
reload-speed-weapon-minor,reload-speed,0.5%,12%,18%,weapon-minor|weapon-skill-minor,skill,0.1%
stability-weapon-minor,stability,0.5%,12%,18%,weapon-minor|weapon-skill-minor,skill,0.1%
accuracy-weapon-minor,accuracy,0.5%,12%,18%,weapon-minor|weapon-skill-minor,skill,0.1%
optimal-range-weapon-minor,optimal-range,0.5%,24%,36%,weapon-minor|weapon-skill-minor,skill,0.1%
magazine-size-weapon-minor,magazine-size,0.5%,12.5%,18.75%,weapon-minor|weapon-offensive-minor,offensive,0.1%
rate-of-fire-weapon-minor,rate-of-fire,0.5%,5%,7.5%,weapon-minor|weapon-skill-minor,skill,0.1%
swap-speed-weapon-minor,swap-speed,0.5%,15%,22.5%,weapon-minor|weapon-offensive-minor,offensive,0.1%
armor-gear-core,armor,16594,170000,255000,gear-core|gear-defensive-core,defensive,1
weapon-damage-gear-core,weapon-damage,1.5%,15%,22.5%,gear-core|gear-offensive-core,offensive,0.1%
skill-tier-gear-core,skill-tier,1,1,1.5,gear-core|gear-skill-core,skill,0.5
weapon-handling-gear-minor,weapon-handling,1%,8%,12%,gear-minor|gear-offensive-minor,offensive,0.1%
critical-hit-chance-gear-minor,critical-hit-chance,1.2%,6%,9%,gear-minor|gear-offensive-minor,offensive,0.1%
critical-hit-damage-gear-minor,critical-hit-damage,6%,12%,18%,gear-minor|gear-offensive-minor,offensive,0.1%
headshot-damage-gear-minor,headshot-damage,1.3%,10%,15%,gear-minor|gear-offensive-minor,offensive,0.1%
armor-regeneration-gear-minor,armor-regeneration,1689,4925,7388,gear-minor|gear-defensive-minor,defensive,1
hazard-protection-gear-minor,hazard-protection,5%,10%,15%,gear-minor|gear-defensive-minor,defensive,0.1%
health-gear-minor,health,8405,18935,28403,gear-minor|gear-defensive-minor,defensive,1
explosive-resistance-gear-minor,explosive-resistance,1%,10%,15%,gear-minor|gear-defensive-minor,defensive,0.1%
skill-haste-gear-minor,skill-haste,6%,12%,15%,gear-minor|gear-skill-minor,skill,0.1%
skill-damage-gear-minor,skill-damage,1.3%,10%,15%,gear-minor|gear-skill-minor,skill,0.1%
repair-skills-gear-minor,repair-skills,7.8%,20%,30%,gear-minor|gear-skill-minor,skill,0.1%
status-effects-gear-minor,status-effects,5%,10%,15%,gear-minor|gear-skill-minor,skill,0.1%
incoming-repairs-gear-minor,incoming-repairs,7.8%,20%,30%,N/A,defensive,0.1%
pistol-damage-sharpshooters-93r,pistol-damage,11.6%,11.6%,17.4%,N/A,offensive,0.1%
reload-speed-sharpshooters-93r,reload-speed,9.3%,9.3%,14%,N/A,skill,0.1%
pistol-damage-survivalist-d50,pistol-damage,11.6%,11.6%,17.4%,N/A,offensive,0.1%
dtoc-survivalist-d50,dtoc,8%,8%,12%,N/A,offensive,0.1%
pistol-damage-maxim-9,pistol-damage,11.6%,11.6%,17.4%,N/A,offensive,0.1%
headshot-damage-maxim-9,headshot-damage,9%,9%,13.5%,N/A,offensive,0.1%
pistol-damage-p320-xcompact,pistol-damage,11.6%,11.6%,17.4%,N/A,offensive,0.1%
damage-to-armor-p320-xcompact,damage-to-armor,5%,5%,7.5%,N/A,offensive,0.1%
skill-tier-tdi-kard-custom,skill-tier,1,1,1.5,N/A,skill,0.5
shotgun-damage-firestarter,shotgun-damage,11.6%,11.6%,17.4%,N/A,offensive,0.1%
health-damage-firestarter,health-damage,7.5%,7.5%,11.3%,N/A,offensive,0.1%
shotgun-damage-backup-boomstick,shotgun-damage,17%,17%,25.5%,N/A,offensive,0.1%
armor-on-kill-the-mop,armor-on-kill,10%,10%,15%,N/A,defensive,0.1%
headshot-damage-oh-carol,headshot-damage,137%,137%,205.5%,N/A,offensive,0.1%
headshot-damage-the-white-death,headshot-damage,137%,137%,205.5%,N/A,offensive,0.1%
headshot-damage-punch-drunk,headshot-damage,20%,20%,30%,N/A,offensive,0.1%
scanner-pulse-haste-nightwatcher,scanner-pulse-haste,100%,100%,150%,N/A,skill,0.1%
optimal-range-visionario,optimal-range,50%,50%,75%,N/A,skill,0.1%
health-damage-the-hollow-man,health-damage,14%,14%,21%,N/A,offensive,0.1%
shield-health-forge,shield-health,50%,50%,75%,N/A,skill,0.1%
ammo-capacity-ammo-dump,ammo-capacity,10%,10%,15%,N/A,offensive,0.1%
weapon-damage-picaros-holster,weapon-damage,10%,10%,15%,N/A,offensive,0.1%
accuracy-spot-on,accuracy,38%,38%,57%,N/A,skill,0.1%
rate-of-fire-salvo,rate-of-fire,5%,5%,7.5%,N/A,skill,0.1%
melee-damage-claws-out,melee-damage,500%,500%,750%,N/A,offensive,0.1%
pistol-damage-claws-out,pistol-damage,10%,10%,15%,N/A,offensive,0.1%
armor-on-kill-deathgrips,armor-on-kill,10%,10%,15%,N/A,defensive,0.1%
