name,default_core_stat_id,1pc_bonus,2pc_bonus,3pc_bonus,4pc_bonus
Aces & Eights,weapon-damage,N/A,stat:marksman-rifle-damage:15%|stat:rifle-damage:15%,stat:headshot-damage:30%,talent:Dead Man's Hand
Aegis,armor,N/A,stat:health:70%,stat:total-armor:15%,talent:Stoic
Breaking Point,weapon-damage,N/A,stat:rifle-damage:25%|stat:marksman-rifle-damage:25%,stat:headshot-damage:30%|stat:weapon-handling:15%,talent:On Point
Cavalier,armor,N/A,stat:hazard-protection:30%,stat:repair-skills:40%,talent:Charging
Concentrated Company,weapon-damage,N/A,stat:weapon-damage:10%,stat:weapon-handling:30%,talent:Camaraderie
Core Strength,armor,N/A,stat:weapon-handling:10%,stat:weapon-damage:5%|stat:total-armor:5%|stat:skill-efficiency:5%,talent:Core Exercise
Eclipse Protocol,skill-tier,N/A,stat:status-effects:15%,stat:skill-haste:15%|stat:hazard-protection:30%,talent:Indirect Transmission
Foundry Bulwark,armor,N/A,stat:total-armor:10%,stat:armor-regeneration:1%|stat:shield-health:50%,talent:Makeshift Repairs
Future Initiative,skill-tier,N/A,stat:repair-skills:30%,stat:skill-duration:30%|stat:skill-haste:15%,talent:Ground Control
Hard Wired,skill-tier,N/A,stat:skill-haste:15%,stat:skill-damage:15%|stat:repair-skills:30%,talent:Feedback Loop
Heartbreaker,armor,N/A,stat:assault-rifle-damage:15%|stat:lmg-damage:15%,stat:weapon-handling:15%,talent:Heartstopper
Hotshot,weapon-damage,N/A,stat:marksman-rifle-damage:30%|stat:weapon-handling:30%,stat:headshot-damage:30%,talent:Headache
Hunter's Fury,weapon-damage,N/A,stat:shotgun-damage:15%|stat:smg-damage:15%,stat:armor-on-kill:20%|stat:health-on-kill:50%,talent:Apex Predator
Measured Assembly,skill-tier,N/A,stat:skill-haste:15%,stat:repair-skills:60%|stat:explosive-resistance:40%,talent:Huddle
Negotiator's Dilemma,weapon-damage,N/A,stat:critical-hit-chance:15%,stat:critical-hit-damage:20%,talent:Crowd Control
Ongoing Directive,weapon-damage,N/A,stat:status-effects:15%,stat:reload-speed:30%,talent:Rules of Engagement
Ortiz: Exuro,skill-tier,N/A,stat:burn-duration:20%|stat:skill-health:15%,stat:burn-damage:40%,talent:Ortiz Incinerator Turret Prototype
Ortiz: Reficere,skill-tier,N/A,stat:skill-efficiency:8%,stat:repair-skills:60%,talent:Ortiz Rapid Application Nanite Prototype
Refactor,armor,N/A,stat:status-effects:15%,stat:skill-damage:25%,talent:Return to Sender
Rigger,skill-tier,N/A,stat:skill-haste:15%,stat:skill-duration:15%,talent:Tend and Befriend
Striker's Battlegear,weapon-damage,N/A,stat:weapon-handling:15%,stat:rate-of-fire:15%,talent:Striker's Gamble
System Corruption,armor,N/A,stat:armor-on-kill:15%,stat:disrupt-resistance:40%|stat:pulse-resistance:40%,talent:Hackstep Protocol
Tip of the Spear,weapon-damage,N/A,stat:signature-weapon-damage:20%,stat:weapon-damage:10%,talent:Aggressive Recon
Tipping Scales,weapon-damage,N/A,stat:magazine-size:30%,stat:lmg-damage:30%,talent:Throttle Control
True Patriot,armor,N/A,stat:ammo-capacity:30%,stat:magazine-size:30%,"talent:Red, White and Blue"
Umbra Initiative,weapon-damage,N/A,stat:critical-hit-chance:15%,stat:reload-speed:30%,talent:From the Shadows Into the Light
Virtuoso,weapon-damage,N/A,stat:weapon-handling:15%|stat:magazine-size:15%,stat:weapon-damage:15%,talent:Symphony
