name,skill
Precision Smart Cover,Smart Cover
Fortified Smart Cover,Smart Cover
Burn Sticky Bomb,Sticky Bomb
EMP Sticky Bomb,Sticky Bomb
Explosive Sticky Bomb,Sticky Bomb
Repair Trap,Trap
Shock Trap,Trap
Shrapnel Trap,Trap
Decoy,Decoy
Scanner Pulse,Pulse
Remote Pulse,Pulse
Jammer Pulse,Pulse
Banshee Pulse,Pulse
Achilles Pulse,Pulse
Assault Turret,Turret
Incinerator Turret,Turret
Sniper Turret,Turret
Artillery Turret,Turret
Restorer Hive,Hive
Stinger Hive,Hive
Reviver Hive,Hive
Booster Hive,Hive
Artificer Hive,Hive
Reinforcer Chem Launcher,Chem Launcher
Firestarter Chem Launcher,Chem Launcher
Riot Foam Chem Launcher,Chem Launcher
Oxidizer Chem Launcher,Chem Launcher
Blinder Firefly,Firefly
Burster Firefly,Firefly
Demolisher Firefly,Firefly
Explosive Seeker Mine,Seeker Mine
Airburst Seeker Mine,Seeker Mine
Cluster Seeker Mine,Seeker Mine
Mender Seeker Mine,Seeker Mine
Striker Drone,Drone
Defender Drone,Drone
Bombardier Drone,Drone
Fixer Drone,Drone
Tactician Drone,Drone
Bulwark Shield,Shield
Crusader Shield,Shield
Deflector Shield,Shield
Striker Shield,Shield
