name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
ACR,main,ACR,FALSE,FALSE,58896.5,650,30,1.91,31,55,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
ACR-E,main,ACR,FALSE,FALSE,58896.5,650,30,1.91,31,55,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Archivist,main,ACR,TRUE,FALSE,58865.5,650,30,1.91,31,55,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Ranger,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
AK-M,main,AK-47,FALSE,FALSE,67175,600,30,2.26,27,55,type:optics-long,type:mag-7.62,N/A,type:underbarrel-short,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military AK-M,main,AK-47,FALSE,FALSE,64716.5,600,30,2.3,27,55,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Black Market AK-M,main,AK-47,FALSE,FALSE,64716.5,600,30,2.3,27,55,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
First Sight,main,AK-47,TRUE,FALSE,67175,600,30,2.8,27,85,type:optics-long,type:mag-7.62,N/A,type:underbarrel-short,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Manic,main,AK-47,TRUE,FALSE,64716.5,600,30,2.3,27,55,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Overflowing,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
AUG A3-CQC,main,AUG,FALSE,FALSE,57218,680,42,2.16,26,55,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Invisible Hand,main,AUG,TRUE,FALSE,57218,680,42,2.16,26,55,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,fixed:Perfect Allegro,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Bighorn,main,AUG,FALSE,TRUE,57218,800,42,2.16,40,55,fixed:Fire Select Scope,fixed:Tension Spring Magazine,fixed:Carbon Steel Muzzle,fixed: Bighorn Horn Grip,fixed:Big Game Hunter,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Carbine 7,main,Carbine 7,FALSE,FALSE,49790,790,30,2.02,28,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Drill,main,Carbine 7,TRUE,FALSE,49790,790,30,2.02,28,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Precision Strike,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
F2000,main,F2000,FALSE,FALSE,49104,850,30,2.4,31,55,type:optics-normal,type:mag-5.56,type:muzzle-5.56,N/A,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Shield Splinterer,main,F2000,TRUE,FALSE,49104,850,30,2.4,31,55,type:optics-normal,type:mag-5.56,type:muzzle-5.56,N/A,fixed:Perfect Optimist,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Agitator,main,F2000,FALSE,TRUE,49104,850,30,2.4,31,55,fixed:Agitator Scope,fixed:Agitator Magazine,fixed:Agitator Muzzle,N/A,fixed:Perturb,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
FAL,main,FAL,FALSE,FALSE,57646,700,20,2.14,35,55,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
FAL SA-58,main,FAL,FALSE,FALSE,57646,700,20,2.14,35,55,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
FAL SA-58 Para,main,FAL,FALSE,FALSE,57646,700,20,2.14,35,55,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Goalie,main,FAL,TRUE,FALSE,57646,700,20,2.14,35,55,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Pressure Point,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Strega,main,FAL,FALSE,TRUE,57646,700,20,2.14,35,55,fixed:Strega Optic,fixed:Strega Magazine,fixed:Strega Muzzle,fixed:Senate Grip,fixed:Unnerve,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
FAMAS 2010,main,Famas,FALSE,FALSE,45272.5,900,30,2.49,26,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Huntsman,main,Famas,TRUE,FALSE,45272.5,900,30,2.49,26,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,fixed:Perfect Frenzy,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Burn Out,main,Famas,TRUE,FALSE,45272.5,900,30,2.49,26,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,fixed:Perfect On Empty,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military G36,main,G36,FALSE,FALSE,52564,750,30,2.34,35,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
G36 C,main,G36,FALSE,FALSE,52564,750,30,2.34,35,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
G36 Enhanced,main,G36,FALSE,FALSE,52564,750,30,2.34,35,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Caretaker,main,G36,TRUE,FALSE,52564,750,30,2.34,35,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Killer,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Born Great,main,G36,TRUE,FALSE,52564,750,30,2.34,35,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Stabilize,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Honey Badger,main,Honey Badger,FALSE,FALSE,51271,800,30,2.06,28,55,type:optics-long,type:mag-5.56,type:muzzle-5.56,N/A,type:assault-rifle,fixed:assault-rifle-damage-weapon-core,fixed:health-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
