name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
Stoner LAMG,main,KAC Stoner,FALSE,FALSE,62361,580,200,3.00,40,65,type:optics-long,type:mag-belt,fixed:QDC Sound Suppressor,type:underbarrel-short,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Quiet Roar,main,KAC Stoner,TRUE,FALSE,62361,580,200,3.00,40,65,type:optics-long,type:mag-belt,fixed:QDC Sound Suppressor,type:underbarrel-short,fixed:Perfect Overwhelm,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Bluescreen,main,KAC Stoner,FALSE,TRUE,62361,600,200,3.10,40,65,fixed:Lightning Sight,fixed:Deauthentication Frame,fixed:Dropkick Grip,fixed:Overclock Muzzle,fixed:Disruptor Rounds,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military L86 LSW,main,L86,FALSE,FALSE,61096.5,700,30,3.18,30,65,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Custom L86 A2,main,L86,FALSE,FALSE,61096.5,700,30,3.18,30,65,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Tabula Rasa,main,L86,TRUE,FALSE,61096.5,700,30,3.18,30,65,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-short,fixed:Perfect Steady Handed,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Insult To Injury,main,L86,TRUE,FALSE,61096.5,700,30,3.18,30,65,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Head Scratcher,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
GR9,main,HK GR9,FALSE,FALSE,49480,750,200,3.63,35,65,fixed:GR9 Built-in scope (8x),type:mag-belt,type:muzzle-7.62,type:underbarrel-short,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Dare,main,HK GR9,TRUE,FALSE,49480,750,200,3.63,35,65,fixed:GR9 Built-in scope (8x),type:mag-belt,type:muzzle-qdc,type:underbarrel-short,fixed:Perfect Flatline,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Cricket,main,HK GR9,TRUE,FALSE,49480,750,200,3.63,35,65,fixed:GR9 Built-in scope (8x),type:mag-belt,type:muzzle-7.62,type:underbarrel-short,fixed:Perfect Precision Strike,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
M249 B,main,M249,FALSE,FALSE,48300,850,100,4.54,35,65,type:optics-long,type:mag-belt,type:muzzle-5.56,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
