name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
SOCOM Mk20 SSR,main,SCAR,FALSE,FALSE,145850,275,20,4.99,55,0,type:optics-normal,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Darkness,main,SCAR,TRUE,FALSE,145850,275,20,4.99,55,0,type:optics-normal,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Eyeless,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
G28,main,G28,FALSE,FALSE,206425,180,20,3.60,50,0,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Relic,main,G28,TRUE,FALSE,206425,180,20,3.60,50,0,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Determined,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Sacrum Imperium,main,G28,FALSE,TRUE,206425,180,20,3.6,50,0,fixed:Sacrum Sight,fixed:Sacrum Magazine,fixed:Sacrum Muzzle,fixed:Sacrum Underbarrel,fixed:The Trap,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
M700 Carbon,main,M700,FALSE,FALSE,412516,55,7,3.98,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
M700 Tactical,main,M700,FALSE,FALSE,412516,55,7,3.98,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-side,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Model 700,main,M700,FALSE,FALSE,441569.5,55,7,7.05,50,0,type:optics-long,type:mag-integrated,type:muzzle-7.62,N/A,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Brutus,main,M700,TRUE,FALSE,412516,55,7,3.98,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Behind You,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Ekim's Long Stick,main,M700,TRUE,FALSE,441569.5,55,7,7.05,50,0,type:optics-long,type:mag-integrated,type:muzzle-7.62,N/A,fixed:Perfect Ranger,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Shroud,main,M700,FALSE,TRUE,412516,55,7,3.98,50,0,fixed:Shroud Scope,fixed:Shroud Magazine,fixed:Shroud Muzzle,fixed:Shroud Underbarrel,fixed:High Priority Target,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Paratrooper SVD,main,SVD,FALSE,FALSE,156662.5,260,10,2.85,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Surplus SVD,main,SVD,FALSE,FALSE,156662.5,260,10,2.85,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Commando,main,SVD,TRUE,FALSE,156662.5,260,10,2.85,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,fixed:Perfect Naked,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Handbasket,main,SVD,TRUE,FALSE,386988.5,60,10,3.15,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Dread Edict,main,SVD,FALSE,TRUE,156662.5,260,10,2.73,50,0,fixed:Judgement's Glare,fixed:Tuned-tension Spring,fixed:Punctuating Barrel,fixed:Fearless Frame,fixed:Full Stop,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Covert SRS,main,SRS,FALSE,FALSE,409357,60,7,4.29,60,0,type:optics-normal,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
SRS A1,main,SRS,FALSE,FALSE,409357,60,7,4.29,60,0,type:optics-normal,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Incendia,main,SRS,TRUE,FALSE,409357,60,7,4.29,60,0,type:optics-normal,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,fixed:Perfect Lucky Shot,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Pinprick,main,SRS,TRUE,FALSE,409357,60,7,4.29,60,0,type:optics-normal,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,fixed:Perfect First Blood,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Mantis,main,SRS,FALSE,TRUE,409357,60,7,4.3,60,0,fixed:Anti-Glint Coated Sight,fixed:Well-Oiled Machine,fixed:Wrapped Suppressor,fixed:Ghillie Frame,fixed:In Plain Sight,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Classic M44 Carbine,main,M44,FALSE,FALSE,433563.5,55,5,4.29,50,0,type:optics-long,type:mag-integrated,N/A,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Hunting M44,main,M44,FALSE,FALSE,417692,55,5,4.29,50,0,type:optics-long,type:mag-integrated,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Custom M44,main,M44,FALSE,FALSE,417692,55,5,4.29,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Instigator,main,M44,TRUE,FALSE,417692,55,5,4.29,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Soft Spot,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Oh Carol,main,M44,TRUE,FALSE,541954.4,55,5,4.29,50,0,fixed:VX1 Scope  (12x),N/A,N/A,N/A,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-oh-carol,N/A,type:weapon-minor,N/A,N/A
The White Death,main,M44,TRUE,FALSE,433563.5,55,5,4.29,50,0,type:optics-long,type:mag-integrated,N/A,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-the-white-death,N/A,type:weapon-minor,N/A,N/A
Prima Donna,main,M44,FALSE,TRUE,417692,55,5,4.29,55,0,fixed:Prima Donna Scope,fixed:Prima Donna Magazine,fixed:Prima Donna Muzzle,fixed:Prima Donna Underbarrel,fixed:You can look...but you can't touch,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
SR-1,main,DSR-1,FALSE,FALSE,409357,60,5,3.15,50,0,type:optics-normal,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Adrestia,main,DSR-1,FALSE,FALSE,409357,60,5,3.15,50,0,type:optics-normal,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Designated Hitter,main,DSR-1,TRUE,FALSE,409357,60,5,3.15,50,0,type:optics-normal,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,fixed:Perfect Reformation,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Tactical .308,main,Tactical .308,FALSE,FALSE,403809.5,70,7,3.04,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Scalpel,main,Tactical .308,TRUE,FALSE,403809.5,70,7,3.04,50,0,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Future Perfection,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Nemesis,main,Custom AWM,FALSE,TRUE,940240,50,5,3.2,60,0,fixed:Nemesis Digital Scope,fixed:Nemesis Bolt,fixed:Nemesis Barrel,fixed:Nemesis Bipod,fixed:Electromagnetic Accelerator,fixed:marksman-rifle-damage-weapon-core,fixed:headshot-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
