name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
93R,sidearm,93R,FALSE,FALSE,52977.5,700,20,1.71,12,100,N/A,type:mag-pistol,type:muzzle-9mm,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Sharpshooter's 93R,sidearm,93R,TRUE,FALSE,52977.5,700,20,1.71,12,100,N/A,type:mag-pistol,type:muzzle-9mm,N/A,fixed:Perfect Unwavering,fixed:pistol-damage-sharpshooters-93r,N/A,N/A,fixed:reload-speed-sharpshooters-93r,N/A,N/A
Tempest,sidearm,93R,FALSE,TRUE,62714,700,30,2.38,12,100,N/A,fixed:Tempest Magazine,fixed:Tempest Muzzle,N/A,fixed:Restrained,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
D50,sidearm,Desert Eagle,FALSE,FALSE,189171.5,200,8,2.24,18,100,type:optics-short,N/A,N/A,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Survivalist D50,sidearm,Desert Eagle,TRUE,FALSE,189171.5,200,8,2.24,18,100,type:optics-short,N/A,N/A,N/A,fixed:Perfect Sadist,fixed:pistol-damage-survivalist-d50,N/A,N/A,fixed:dtoc-survivalist-d50,N/A,N/A
Liberty,sidearm,Desert Eagle,FALSE,TRUE,189171.5,200,8,2.24,18,100,fixed:Liberty Sight,fixed:Liberty Grip,fixed:Liberty Customs,fixed:Trigger Mechanism,fixed:Liberty or Death,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
M1911,sidearm,M1911,FALSE,FALSE,129884.5,310,7,2.24,12,100,N/A,type:mag-pistol,N/A,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
M45A1,sidearm,M1911,FALSE,FALSE,117435.5,310,7,2.33,12,100,type:optics-micro,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Tactical M1911,sidearm,M1911,FALSE,FALSE,117435.5,310,7,2.33,12,100,type:optics-micro,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Quickstep,sidearm,M1911,TRUE,FALSE,117435.5,310,7,2.33,12,100,type:optics-micro,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,fixed:Sport Mode,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Mozambique Special,sidearm,M1911,TRUE,FALSE,117435.5,310,7,2.33,12,100,type:optics-micro,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,fixed:Perfect Breadbasket,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Maxim 9,sidearm,Maxim,TRUE,FALSE,125413.8,280,17,1.39,16,100,N/A,type:mag-pistol,N/A,N/A,fixed:Perfect Spike,fixed:pistol-damage-maxim-9,N/A,N/A,fixed:headshot-damage-maxim-9,N/A,N/A
Military M9,sidearm,M9,FALSE,FALSE,102584.5,350,15,1.90,16,100,N/A,type:mag-pistol,type:muzzle-9mm,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Officer's M9 A1,sidearm,M9,FALSE,FALSE,95697.5,350,15,1.96,16,100,type:optics-micro,type:mag-pistol,type:muzzle-9mm,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Mosquito,sidearm,M9,FALSE,TRUE,102584.5,350,15,1.9,16,100,N/A,fixed:Mosquito Magazine,fixed:Mosquito Muzzle,N/A,fixed:Mosquito Song,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
P320 XCompact,sidearm,P320,TRUE,FALSE,87540.8,380,17,1.77,12,100,type:optics-micro,type:mag-pistol,type:muzzle-9mm,type:underbarrel-gadget,fixed:Perfect Preservation,fixed:pistol-damage-p320-xcompact,N/A,N/A,fixed:damage-to-armor-p320-xcompact,N/A,N/A
Custom PF45,sidearm,PF45,FALSE,FALSE,93962.5,370,10,1.77,14,100,type:optics-micro,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
First Wave PF45,sidearm,PF45,FALSE,FALSE,100727.5,370,10,1.74,14,100,N/A,type:mag-pistol,N/A,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Lightning Rod,sidearm,PF45,TRUE,FALSE,93962.5,370,10,1.77,14,100,type:optics-micro,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,fixed:Perfect Salvage,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Busy Little Bee,sidearm,PF45,FALSE,TRUE,93962.5,400,10,1.78,14.4,100,fixed:Bee's Focus,fixed:Bee's Speed,fixed:Bee's Purpose,fixed:Bee's Strength,fixed:Busy Little Bee,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Px4 Storm Type F,sidearm,Px4,FALSE,FALSE,91692,380,14,1.63,12,100,N/A,type:mag-pistol,type:muzzle-9mm,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Px4 Storm Type T,sidearm,Px4,FALSE,FALSE,91692,380,14,1.63,12,100,N/A,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Diceros,sidearm,Rhino,FALSE,FALSE,204803,180,6,2.00,18,100,N/A,type:mag-drum,N/A,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Snubnosed Diceros,sidearm,Rhino,FALSE,FALSE,211295,180,6,1.98,18,100,N/A,type:mag-drum,N/A,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Diceros Special,sidearm,Rhino,TRUE,FALSE,198305.8,180,6,1.93,18,100,type:optics-short,type:mag-drum,N/A,type:underbarrel-gadget,fixed:Perfect Optimist,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Whiplash,sidearm,Rhino,FALSE,TRUE,198305.8,180,6,1.93,18,100,fixed:Whiplash Optics,fixed:Whiplash Magazine,N/A,fixed:Whiplash Underbarrel,fixed:Faster Than Reloading,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
586 Magnum,sidearm,Magnum,FALSE,FALSE,233278,160,6,2.54,16,100,type:optics-short,type:mag-drum,N/A,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Police 686 Magnum,sidearm,Magnum,FALSE,FALSE,233278,160,6,2.54,16,100,type:optics-short,type:mag-drum,N/A,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Orbit,sidearm,Magnum,TRUE,FALSE,233278,160,6,2.54,16,100,type:optics-short,type:mag-drum,N/A,N/A,fixed:Perfect Finisher,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Prophet,sidearm,Magnum,TRUE,FALSE,233278,160,6,2.54,16,100,type:optics-short,type:mag-drum,N/A,N/A,fixed:Perfect Determined,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
The Harvest,sidearm,Magnum,TRUE,FALSE,256610,149,6,2.54,16,100,type:optics-short,type:mag-drum,N/A,N/A,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Regulus,sidearm,Magnum,FALSE,TRUE,282072,160,6,2.78,16,100,N/A,fixed:Engraved Drum,fixed:Engraved Muzzle,N/A,fixed:Regicide,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
X-45,sidearm,X-45,FALSE,FALSE,88321,400,15,1.99,16,100,N/A,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
X-45 Tactical,sidearm,X-45,FALSE,FALSE,88321,400,15,1.99,16,100,N/A,type:mag-pistol,type:muzzle-45,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
Kard-45,sidearm,Kriss Kard,FALSE,FALSE,114267,310,10,1.71,12,100,type:optics-micro,type:mag-pistol,type:muzzle-9mm,type:underbarrel-gadget,type:pistol,fixed:pistol-damage-weapon-core,N/A,N/A,type:weapon-minor,N/A,N/A
