name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
ACR SS,main,ACR,FALSE,FALSE,92364,420,30,2.63,45,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Trader,main,ACR,TRUE,FALSE,92364,420,30,2.63,45,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Back and Forth,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Merciless,main,AKM,FALSE,TRUE,102269.5,400,30,2.17,35,60,fixed:Merciless Optics,fixed:Merciless Magazine,fixed:Merciless Muzzle,fixed:Merciless Grip,fixed:Binary Trigger,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
UIC15 MOD2,main,AR15,FALSE,FALSE,150316,240,30,1.73,60,60,type:optics-long,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
M16A2,main,M16,FALSE,FALSE,106971,400,30,2.44,50,60,type:optics-short,type:mag-5.56,type:muzzle-5.56,N/A,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Whisper,main,M16,TRUE,FALSE,106971,400,30,2.44,50,60,type:optics-short,type:mag-5.56,type:muzzle-5.56,N/A,fixed:Perfect Behind You,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Classic M1A,main,M1A,FALSE,FALSE,231346,180,10,2.6,60,60,type:optics-long,type:mag-mmr-7.62,N/A,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Socom M1A,main,M1A,FALSE,FALSE,129179.5,320,10,2.32,60,60,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
M1A CQB,main,M1A,FALSE,FALSE,129179.5,320,10,2.32,60,60,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Baker's Dozen,main,M1A,TRUE,FALSE,231346,180,10,2.6,60,60,type:optics-long,type:mag-mmr-7.62,N/A,type:underbarrel-long,fixed:Perfect Lucky Shot,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Stage Left,main,M1A,TRUE,FALSE,129179.5,320,10,2.32,60,60,type:optics-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Sledgehammer,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
