name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
ACS-12,main,AA12,FALSE,FALSE,180748,300,20,3.35,16,45,type:optics-short,N/A,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Stack Broker,main,AA12,TRUE,FALSE,150624,360,20,3.35,16,45,type:optics-short,N/A,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Lefty,main,AA12,TRUE,FALSE,180748,300,20,3.35,16,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,fixed:Perfect Sledgehammer,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Rock n' Roll,main,AA12,TRUE,FALSE,180748,300,20,3.35,16,45,type:optics-short,N/A,N/A,type:underbarrel-long,fixed:Perfect Extra,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Double Barrel Shotgun,main,Double Barrel,FALSE,FALSE,678136,200,2,3.89,11,45,N/A,N/A,N/A,N/A,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Boomstick,main,Double Barrel,TRUE,FALSE,678136,200,2,3.89,11,45,N/A,N/A,N/A,N/A,fixed:Perfect Pumped Up,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Sawed-Off Double Barrel,sidearm,Sawed-Off,FALSE,FALSE,635712,200,2,2.51,7,45,N/A,N/A,N/A,N/A,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Firestarter,sidearm,Sawed-Off,TRUE,FALSE,635710.5,200,2,2.51,7,45,N/A,N/A,N/A,N/A,fixed:Primer Rounds,fixed:shotgun-damage-firestarter,N/A,N/A,fixed:health-damage-firestarter,N/A,N/A
Backup Boomstick,sidearm,Sawed-Off,TRUE,FALSE,635712,200,2,2.51,7,45,N/A,N/A,N/A,N/A,type:shotgun,fixed:shotgun-damage-backup-boomstick,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
KSG Shotgun,main,KSG,FALSE,FALSE,678928,70,12,7.98,16,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Send-Off,main,KSG,TRUE,FALSE,678928,70,12,7.98,16,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,fixed:Perfect Distance,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Overlord,main,KSG,FALSE,TRUE,678928,70,12,7.99,16,45,fixed:Ballistic Rail,fixed:Riot Magazine,N/A,fixed:Fortified Grip,fixed:Capitulate,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Custom M870 MCS,main,M870,FALSE,FALSE,703672,75,5,3.34,11,45,type:optics-long,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
M870 Express,main,M870,FALSE,FALSE,703672,75,5,3.34,11,45,type:optics-long,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military M870,main,M870,FALSE,FALSE,703672,75,5,3.34,11,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Lockdown,main,M870,TRUE,FALSE,703672,75,5,3.34,11,45,type:optics-long,type:mag-tubular,N/A,type:underbarrel-long,fixed:Perfect Immobilize,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Cuelebre,main,M870,TRUE,FALSE,703672,75,5,3.34,11,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,fixed:Perfect Jazz Hands,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Fafnir,main,M870,FALSE,TRUE,703672,75,5,3.34,11,45,fixed:Fafnir Optics,fixed:Fafnir Magazine,N/A,fixed:Fafnir Underbarrel,fixed:Dragon's Breath,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Black Market SASG-12 S,main,SASG-12,FALSE,FALSE,349804,180,7,3.05,14,45,type:optics-long,N/A,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
SASG-12,main,SASG-12,FALSE,FALSE,349804,180,7,3.05,14,45,type:optics-short,N/A,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Tactical SASG-12 K,main,SASG-12,FALSE,FALSE,349804,180,7,3.05,14,45,type:optics-short,N/A,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Tsunami,main,SASG-12,TRUE,FALSE,349804,180,7,3.05,14,45,type:optics-short,N/A,N/A,type:underbarrel-long,fixed:Perfect Pummel,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
SPAS-12,main,SPAS-12,FALSE,FALSE,716008,70,8,4.65,16,45,N/A,type:mag-tubular,N/A,N/A,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Thorn,main,SPAS-12,TRUE,FALSE,716008,70,8,4.65,16,45,N/A,type:mag-tubular,N/A,N/A,fixed:Perfect Brazen,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
