name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
Converted SMG-9 A2,main,SMG-9,FALSE,FALSE,46734.5,1000,32,2.3,15,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
Converted SMG-9,main,SMG-9,FALSE,FALSE,48511.5,1000,32,2.26,15,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,N/A,type:smg,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
Purist,main,SMG-9,TRUE,FALSE,46734.5,1000,32,2.3,15,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,fixed:Perfect Streamline,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
MP5 ST,main,MP5,FALSE,FALSE,53903.5,800,30,1.79,21,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,type:smg,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
MP5A2,main,MP5,FALSE,FALSE,53903.5,800,30,1.79,21,50,type:optics-long,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
MP5-N,main,MP5,FALSE,FALSE,53903.5,800,30,1.79,21,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,type:smg,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
Cabaret,main,MP5,TRUE,FALSE,53903.5,800,30,1.79,21,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,fixed:Perfect Thunder Strike,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
CMMG Banshee,main,CMMG,FALSE,FALSE,47848.5,900,32,1.92,21,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Grudge,main,CMMG,TRUE,FALSE,47848.5,900,32,1.92,21,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,fixed:Perfect Vindictive,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
Lady Death,main,CMMG,FALSE,TRUE,35409,900,32,1.92,21,50,fixed:Gaze of Death,fixed:Death's Hand,fixed:Death's Maw,fixed:Kiss of Death,fixed:Breathe Free,fixed:smg-damage-weapon-core,fixed:critical-hit-chance-weapon-core,N/A,type:weapon-minor,N/A,N/A
